,start,stop,Fst
0,0,32000,0.4659718223000374
1,6400,38400,0.46752815713569723
2,12800,44800,0.4631956350270272
3,19200,51200,0.46638735327307074
4,25600,57600,0.46768468076877906
5,32000,64000,0.47054332611383676
6,38400,70400,0.475710070711689
7,44800,76800,0.475132917602951
8,51200,83200,0.4767061479383672
9,57600,89600,0.4765731001822216
10,64000,96000,0.47429183971155975
11,70400,102400,0.47348366017186777
12,76800,108800,0.4777724556603356
13,83200,115200,0.47904531823097757
14,89600,121600,0.4788456137120132
15,96000,128000,0.474965469608961
16,102400,134400,0.4761657288347004
17,108800,140800,0.4747571145618338
18,115200,147200,0.46960694366374633
19,121600,153600,0.4728204772550859
20,128000,160000,0.4732357728650139
21,134400,166400,0.47418422215498307
22,140800,172800,0.47390250976521836
23,147200,179200,0.47136898343536093
24,153600,185600,0.4676090869657325
25,160000,192000,0.4638355332340233
26,166400,198400,0.46381710020070405
27,172800,204800,0.46444530510444115
28,179200,211200,0.464786973663671
29,185600,217600,0.4693272859132249
30,192000,224000,0.4733276519376954
31,198400,230400,0.47059927191398887
32,204800,236800,0.46924073065200383
33,211200,243200,0.4708288362847812
34,217600,249600,0.4669581095139592
35,224000,256000,0.4651365129515165
36,230400,262400,0.46131024631349904
37,236800,268800,0.46254791435732906
38,243200,275200,0.4654725164959697
39,249600,281600,0.4667991256717178
40,256000,288000,0.4705179959949737
41,262400,294400,0.468285177237427
42,268800,300800,0.4656965193347369
43,275200,307200,0.4688394976971964
44,281600,313600,0.46865809649237683
45,288000,320000,0.47222797526274857
46,294400,326400,0.4735427875563658
47,300800,332800,0.4744235119462934
48,307200,339200,0.47633058735094586
49,313600,345600,0.4747002811713117
50,320000,352000,0.4768167049967005
51,326400,358400,0.47095708510026196
52,332800,364800,0.47523717699811147
53,339200,371200,0.4768444150697692
54,345600,377600,0.47589302128510513
55,352000,384000,0.4787357259935577
56,358400,390400,0.4730690495851099
57,364800,396800,0.47756491270245127
58,371200,403200,0.47515459010307515
59,377600,409600,0.47434353008489927
60,384000,416000,0.47461931875583663
61,390400,422400,0.4672066044266393
62,396800,428800,0.46888175021775397
63,403200,435200,0.46554374961092054
64,409600,441600,0.46358384451444823
65,416000,448000,0.4636181634489888
66,422400,454400,0.46294876023390585
67,428800,460800,0.4633614913699595
68,435200,467200,0.4625745513634211
69,441600,473600,0.4619542544512475
70,448000,480000,0.46882778122704655
71,454400,486400,0.4675819015236259
72,460800,492800,0.46877045673550327
73,467200,499200,0.4735955976847477
74,473600,505600,0.4791022464915786
75,480000,512000,0.47422229534885024
76,486400,518400,0.4673922864006243
77,492800,524800,0.46727981060812607
78,499200,531200,0.47082487679734447
79,505600,537600,0.47245605072646646
80,512000,544000,0.4683144957375551
81,518400,550400,0.4750516521847779
82,524800,556800,0.4737717406397585
83,531200,563200,0.479663030438004
84,537600,569600,0.4749600599470523
85,544000,576000,0.4730190057810455
86,550400,582400,0.4761918464231246
87,556800,588800,0.4782823462719509
88,563200,595200,0.4786602929141758
89,569600,601600,0.47274329000843945
90,576000,608000,0.4733038882170367
91,582400,614400,0.4707852762786011
92,588800,620800,0.46713874363968116
93,595200,627200,0.45945784017374697
94,601600,633600,0.45937207183065176
95,608000,640000,0.4570235849947336
96,614400,646400,0.4542106408906247
97,620800,652800,0.4551946189750698
98,627200,659200,0.4556578061471426
99,633600,665600,0.4635447247245965
100,640000,672000,0.4683728257124968
101,646400,678400,0.47090162526932655
102,652800,684800,0.4749812558482473
103,659200,691200,0.4780136213272769
104,665600,697600,0.4798992026034228
105,672000,704000,0.47770695256154694
106,678400,710400,0.4777850650821877
107,684800,716800,0.47815289120839827
108,691200,723200,0.4769236684833676
109,697600,729600,0.47517204025779697
110,704000,736000,0.47230110310698
111,710400,742400,0.46854447512483505
112,716800,748800,0.4634832425831721
113,723200,755200,0.46896905480355056
114,729600,761600,0.47285809271082635
115,736000,768000,0.4740360638043777
116,742400,774400,0.46755749535429386
117,748800,780800,0.4699936521966768
118,755200,787200,0.47753337063647383
119,761600,793600,0.4723408171823013
120,768000,800000,0.4757162215881665
121,774400,806400,0.47774633520878584
122,780800,812800,0.4827655653355712
123,787200,819200,0.4810488964281336
124,793600,825600,0.47362320353864423
125,800000,832000,0.4743030551638745
126,806400,838400,0.46711728838455935
127,812800,844800,0.46487042561809255
128,819200,851200,0.46596104406035005
129,825600,857600,0.4715002269893236
130,832000,864000,0.4716457265215272
131,838400,870400,0.4709797655328955
132,844800,876800,0.4693964760579617
133,851200,883200,0.46164536507011356
134,857600,889600,0.46421261591369933
135,864000,896000,0.45623595083326174
136,870400,902400,0.4608591858880764
137,876800,908800,0.46423308412840014
138,883200,915200,0.4670761570709707
139,889600,921600,0.47689062206166916
140,896000,928000,0.4750848693189507
141,902400,934400,0.47996351617391436
142,908800,940800,0.47687644653528316
143,915200,947200,0.4749565953870627
144,921600,953600,0.4813203767968989
145,928000,960000,0.4804891541154867
146,934400,966400,0.476495456028275
147,940800,972800,0.47527828685913265
148,947200,979200,0.4755367004933496
149,953600,985600,0.4757202708732925
150,960000,992000,0.4705901512479584
