start,stop,Fst,replicate
0,32000,0.3812998232772509,0
6400,38400,0.34327906687886,0
12800,44800,0.291817931506037,0
19200,51200,0.284488916331398,0
25600,57600,0.2532042171210405,0
32000,64000,0.24891839601106325,0
38400,70400,0.2224705871450857,0
44800,76800,0.2130887539768607,0
51200,83200,0.21273264010262427,0
57600,89600,0.21297785862185584,0
64000,96000,0.2151368909817443,0
70400,102400,0.2158582807643282,0
76800,108800,0.20381877397741766,0
83200,115200,0.1950020156899124,0
89600,121600,0.17231444207070554,0
96000,128000,0.1599128238674954,0
102400,134400,0.1534498143265651,0
108800,140800,0.1349984140293159,0
115200,147200,0.1340017770321102,0
121600,153600,0.11202606716930368,0
128000,160000,0.12084824218691048,0
134400,166400,0.12778489508701793,0
140800,172800,0.14195036138789002,0
147200,179200,0.15742319719669265,0
153600,185600,0.16824025928084127,0
160000,192000,0.16206648734831744,0
166400,198400,0.15323902838216535,0
172800,204800,0.14435259874209486,0
179200,211200,0.15331067863655629,0
185600,217600,0.1492323854560935,0
192000,224000,0.18109249834219115,0
198400,230400,0.18886399775175236,0
204800,236800,0.19356735743015244,0
211200,243200,0.1929484185660654,0
217600,249600,0.168262961712927,0
224000,256000,0.16654921279125914,0
230400,262400,0.12962308101545286,0
236800,268800,0.12752422501227978,0
243200,275200,0.1469682547217265,0
249600,281600,0.14493099613712845,0
256000,288000,0.15525025405045695,0
262400,294400,0.18583638947064554,0
268800,300800,0.22311092346995065,0
275200,307200,0.2365744861968527,0
281600,313600,0.2292518802740076,0
288000,320000,0.2337958075837876,0
294400,326400,0.24134316506811404,0
300800,332800,0.21054884646403435,0
307200,339200,0.1777482194775935,0
313600,345600,0.16104383600151467,0
320000,352000,0.1448657588268913,0
326400,358400,0.15402726433631156,0
332800,364800,0.14737642274335874,0
339200,371200,0.13715934493418316,0
345600,377600,0.13362822174315306,0
352000,384000,0.1431834531058018,0
358400,390400,0.1463218958448754,0
364800,396800,0.13956109101331088,0
371200,403200,0.1408628709123406,0
377600,409600,0.13602551674928862,0
384000,416000,0.12793138900525985,0
390400,422400,0.13160341828026728,0
396800,428800,0.14251162523010086,0
403200,435200,0.1291862717869838,0
409600,441600,0.1244476623915809,0
416000,448000,0.12343346748313347,0
422400,454400,0.15281744673803851,0
428800,460800,0.16146664996337784,0
435200,467200,0.16953925171097647,0
441600,473600,0.19444900439654506,0
448000,480000,0.18049697843571816,0
454400,486400,0.19016146288711694,0
460800,492800,0.18558705238716144,0
467200,499200,0.18097239717603053,0
473600,505600,0.1672169183807702,0
480000,512000,0.1589072500036414,0
486400,518400,0.18455727567563845,0
492800,524800,0.20284665094078466,0
499200,531200,0.2150225781602328,0
505600,537600,0.23287641812412435,0
512000,544000,0.2348254393662989,0
518400,550400,0.22259508308217785,0
524800,556800,0.21609534242584727,0
531200,563200,0.19086682528899052,0
537600,569600,0.16027161917860475,0
544000,576000,0.1704648398972472,0
550400,582400,0.1728222447631862,0
556800,588800,0.202835935536738,0
563200,595200,0.2023729846356836,0
569600,601600,0.2231047700780618,0
576000,608000,0.2328235223677777,0
582400,614400,0.1963196706172208,0
588800,620800,0.19738137899627328,0
595200,627200,0.17966404075007766,0
601600,633600,0.18296993971324274,0
608000,640000,0.1888984002755236,0
614400,646400,0.19025567980632352,0
620800,652800,0.1844701906722651,0
627200,659200,0.18251163665158696,0
633600,665600,0.18281671316560155,0
640000,672000,0.1712438118263235,0
646400,678400,0.1500848402194669,0
652800,684800,0.16346396520300188,0
659200,691200,0.16598659061462964,0
665600,697600,0.16231599146731734,0
672000,704000,0.16182957284394628,0
678400,710400,0.16628127342770627,0
684800,716800,0.19514251347591546,0
691200,723200,0.19466780972995104,0
697600,729600,0.2087171588892661,0
704000,736000,0.2240563391363967,0
710400,742400,0.2312086878963254,0
716800,748800,0.2467449857807073,0
