,0
0,0.18259296710525064
1,0.15521539759601688
2,0.15775914364273824
3,0.17443467497742104
4,0.14781995785878133
5,0.1637748481906367
6,0.17047835072017636
7,0.20004499509917795
8,0.1554273306193953
9,0.19678657162261826
10,0.1928408045583636
11,0.15808754349243603
12,0.1687100989296797
13,0.1639809564043596
14,0.15602603609089993
15,0.14979463928269066
16,0.19239836367082375
17,0.2051706891795827
18,0.17297761986993376
19,0.1890898476866978
20,0.18297632377686612
21,0.1823718261919164
22,0.16907450161509852
23,0.17614528335765522
24,0.17785793097973845
25,0.16887604299274028
26,0.15901715629100244
27,0.15637482174426154
28,0.1828198926550637
29,0.18432006503243004
30,0.17147397450611057
31,0.18450760953650258
32,0.18658908195213664
33,0.20243153631768918
34,0.16468631231804076
35,0.1549777038263066
36,0.20146912065616196
37,0.18727258235310607
38,0.19781101468206252
39,0.21255527889849535
40,0.16716339349037668
41,0.17188884894596956
42,0.16862108562033684
43,0.16814784481178036
44,0.17648333698247498
45,0.1731411566232146
46,0.14368310531799278
47,0.16234538735051995
48,0.16345468744705172
49,0.16985225462251596
50,0.1867256881920053
51,0.1923554915360165
52,0.16355010132868264
53,0.19246724269824345
54,0.15994428292299645
55,0.1916541468365872
56,0.20833800336903785
57,0.17385589737916962
58,0.1722979890370986
59,0.16560417570860997
60,0.21292574659465746
61,0.18202296320857925
62,0.1446961686492655
63,0.159271007942954
64,0.16013701166179073
65,0.18849432614855888
66,0.16287624183662552
67,0.21498359331535488
68,0.19187050017987384
69,0.18370529211813535
70,0.16506495197805582
71,0.17340389893467478
72,0.21516766595933123
73,0.19934103871257092
74,0.1432947897508685
75,0.20526049445749317
76,0.14725926739680362
77,0.18588876953666633
78,0.18749764529863522
79,0.16711775375926952
80,0.15996780618191075
81,0.20996637638200188
82,0.20495730052123828
83,0.16640801293552288
84,0.18509348720443597
85,0.2111972961907297
86,0.21654828420242767
87,0.18983354761436888
88,0.21168191020113702
89,0.1758600057764491
90,0.18704401302090223
91,0.18327301935455642
92,0.16762645473247773
93,0.19028231323147282
94,0.19340503356810235
95,0.18560669696286825
96,0.16852397701897415
97,0.19013233924595885
98,0.18306811760712438
99,0.17953808676742378
