,start,stop,Fst
0,0,32000,0.03250019699690787
1,6400,38400,0.04454358829151262
2,12800,44800,0.040982409059698785
3,19200,51200,0.04444291543196599
4,25600,57600,0.10100596210433507
5,32000,64000,0.13577671935275776
6,38400,70400,0.15096876479666
7,44800,76800,0.17238279831032519
8,51200,83200,0.179872113691444
9,57600,89600,0.1824082622150849
10,64000,96000,0.1276451207497443
11,70400,102400,0.10671775346833545
12,76800,108800,0.0872081099287926
13,83200,115200,0.06561909223109708
14,89600,121600,0.0724058348006331
15,96000,128000,0.09970043262678988
16,102400,134400,0.11232472389349826
17,108800,140800,0.12088748728929385
18,115200,147200,0.12031620958017476
19,121600,153600,0.12657860441414376
20,128000,160000,0.11698551382910424
21,134400,166400,0.11640109434326863
22,140800,172800,0.112002955559308
23,147200,179200,0.10752482358138786
24,153600,185600,0.10379599472386035
25,160000,192000,0.10244489049890806
26,166400,198400,0.09544032796174222
27,172800,204800,0.05919435549238315
28,179200,211200,0.05286108329142949
29,185600,217600,0.05715667754240283
30,192000,224000,0.0506114284624661
31,198400,230400,0.04452970310735774
32,204800,236800,0.07495076747476853
33,211200,243200,0.11698455143517883
34,217600,249600,0.1374847030329144
35,224000,256000,0.15240436792535542
36,230400,262400,0.18205574493424384
37,236800,268800,0.18318852674290947
38,243200,275200,0.15570119563045445
39,249600,281600,0.16129495566727114
40,256000,288000,0.164192193344011
41,262400,294400,0.16077502157752335
42,268800,300800,0.15251251464197418
43,275200,307200,0.1766256097111653
44,281600,313600,0.23334462801374783
45,288000,320000,0.23227394391047096
46,294400,326400,0.21941933195172508
47,300800,332800,0.2701076223401225
48,307200,339200,0.2757620251859789
49,313600,345600,0.255435479732853
50,320000,352000,0.2073822117790809
51,326400,358400,0.21915081283099466
52,332800,364800,0.2515320782508184
53,339200,371200,0.20080175629034108
54,345600,377600,0.18089375846841352
55,352000,384000,0.17397753545611405
56,358400,390400,0.20214382181976373
57,364800,396800,0.21474876085785208
58,371200,403200,0.19306432395126416
59,377600,409600,0.20530786124677883
60,384000,416000,0.20805646392679777
61,390400,422400,0.21145404715311114
62,396800,428800,0.20819143678822558
63,403200,435200,0.16344358148840957
64,409600,441600,0.1759350041440629
65,416000,448000,0.17209511759752713
66,422400,454400,0.18825211177348555
67,428800,460800,0.20438024332778015
68,435200,467200,0.19961632355709102
69,441600,473600,0.20874760557295155
70,448000,480000,0.18389499263737588
71,454400,486400,0.19091605876933498
72,460800,492800,0.20262059366829513
73,467200,499200,0.20135591302322764
74,473600,505600,0.1978990995757508
75,480000,512000,0.2042509124516682
76,486400,518400,0.22503333501177422
77,492800,524800,0.21089748497469007
78,499200,531200,0.20584114899814582
79,505600,537600,0.2082866018693446
80,512000,544000,0.20053938115964384
81,518400,550400,0.19441834066434513
82,524800,556800,0.17668680435135317
83,531200,563200,0.1715853533132781
84,537600,569600,0.16626698179572058
85,544000,576000,0.17359212548929576
86,550400,582400,0.20376785058295177
87,556800,588800,0.21990166018997412
88,563200,595200,0.2360095397519931
89,569600,601600,0.2483766735336214
90,576000,608000,0.260884564663941
91,582400,614400,0.25166137604866307
92,588800,620800,0.2289751902399193
93,595200,627200,0.22250541454042208
94,601600,633600,0.1995301899952299
95,608000,640000,0.19669581142284812
96,614400,646400,0.2034171646606198
97,620800,652800,0.20932257848892102
98,627200,659200,0.20722862157901187
99,633600,665600,0.18581418503014738
100,640000,672000,0.19761354532148193
101,646400,678400,0.18879517472105076
102,652800,684800,0.1705436751665299
103,659200,691200,0.16162708203404683
104,665600,697600,0.19005796550125456
105,672000,704000,0.20948684015286853
106,678400,710400,0.20518938621585417
107,684800,716800,0.20596650293926097
108,691200,723200,0.22406361490214657
109,697600,729600,0.2082519152910225
110,704000,736000,0.17645460873704083
111,710400,742400,0.18908628635599298
112,716800,748800,0.2080998149725735
113,723200,755200,0.22935598134488286
114,729600,761600,0.20078555573403473
115,736000,768000,0.20339667451932186
116,742400,774400,0.20467250980861187
117,748800,780800,0.1817197484700783
118,755200,787200,0.18268148303620932
119,761600,793600,0.1750722936225638
120,768000,800000,0.19515758639672393
121,774400,806400,0.22457547740632425
122,780800,812800,0.23374772906060043
123,787200,819200,0.25646153133408345
124,793600,825600,0.25421622709124286
125,800000,832000,0.2491983672392742
126,806400,838400,0.22197257077587587
127,812800,844800,0.20879984616185482
128,819200,851200,0.20391946022257829
129,825600,857600,0.1813648259754254
130,832000,864000,0.16942815919079665
131,838400,870400,0.1584563505326687
132,844800,876800,0.17169112863724006
133,851200,883200,0.16775028008627882
134,857600,889600,0.1703960823896817
135,864000,896000,0.16633264407839699
136,870400,902400,0.1673414033498235
137,876800,908800,0.16226410391042675
138,883200,915200,0.15952127714085093
139,889600,921600,0.15581145237923522
140,896000,928000,0.1359986877996031
141,902400,934400,0.15813438360914417
142,908800,940800,0.17230958654823278
143,915200,947200,0.19061560559238078
144,921600,953600,0.1910655529445834
145,928000,960000,0.17654421560843644
146,934400,966400,0.1870058791620595
147,940800,972800,0.15935763047163945
148,947200,979200,0.14165866537626315
149,953600,985600,0.12978825855748002
150,960000,992000,0.12587478942428412
151,966400,998400,0.14734495178242119
152,972800,1004800,0.14435325507015448
153,979200,1011200,0.15613793331398299
154,985600,1017600,0.16159569087168632
155,992000,1024000,0.16933656055849286
156,998400,1030400,0.17237531166453182
157,1004800,1036800,0.1634710571569934
158,1011200,1043200,0.1627475148608749
159,1017600,1049600,0.18400748538204797
160,1024000,1056000,0.19139176051393855
161,1030400,1062400,0.18852698285974698
162,1036800,1068800,0.18381248133654182
